,order_id,restaurant_name,order_date,order_value,discount_used,payment_method
0,8174c2af-07a4-4837-9068-1169d963e36e,tbc sky lounge,2025-05-06,201.87,no,card
1,0f9ddb57-4632-4a9f-9afe-1d2e41b94e32,kc das  sweet paradise,2026-01-08,1392.27,no,cash
2,099deda6-8c53-41cb-abf8-00126e6b2643,hotel kadamba veg,2026-01-22,1358.35,yes,upi
3,94a6ba27-d6ef-4d10-a026-ac0c0afa8505,cafe srinidhi,2025-11-10,782.37,no,upi
4,216f3ec7-80a9-4d95-872f-715c37163b6d,pebble,2025-12-22,1551.09,yes,upi
5,7d1b5f22-5bfd-42fd-90d1-4040a4aa8729,cheesiano pizza,2025-11-05,1179.9,no,cash
6,96475dc3-1433-4792-8998-876b3efa6c59,fullyfilled,2025-05-30,826.06,yes,upi
7,a2b66255-a6f7-4dcc-9a2b-45bf36e6da55,bawarchi inn,2025-12-26,1318.03,yes,upi
8,e44b23ce-6d29-4c09-9eac-9d4f24f56fd9,sunny cafe  kitchen,2025-11-13,692.33,no,cash
9,25b2d40b-35b3-40f7-9cbe-37bf690db837,bathinda junction,2025-12-08,455.51,no,card
10,28bcfd85-fd84-458c-851b-60311c625d01,gudguda prime cafe,2025-11-12,937.88,no,upi
11,11c7ea0f-cafa-4b63-a14e-7129fa934e95,the blue wagon  kitchen,2025-05-11,1446.03,yes,upi
12,00a0c73e-b797-4322-afc4-6199d5f68ce9,shaanepunjab,2025-09-23,1442.41,no,upi
13,98ccc839-fea8-4d92-9ba0-5a1ab4b8bff8,oottupura,2025-07-25,1019.59,no,cash
14,a7fc803c-b863-461a-b18d-e713d525485c,mangalore pearl,2025-09-21,459.17,no,cash
15,659aa47b-9044-4e2a-b49e-7c7f1dfbea09,carnatic,2025-10-30,407.38,yes,card
16,baa7fac2-c7f7-4405-abe2-6f2a3beb4b78,biryani mane,2025-12-31,855.87,yes,card
17,57ce4802-690a-4ea3-8656-ac73758cff36,eatapita,2025-12-25,1097.72,no,card
18,bd9e4f83-e1f6-4db6-a6c8-e2d6bea58408,al khansah,2025-08-20,862.2,yes,upi
19,f960b9ca-2b36-4a02-9a07-85d7ecda1254,bon appetit resto,2025-09-14,434.6,no,upi
20,1496b1a4-f73b-4ab1-927e-0a057f8d5b1c,sikori,2026-01-05,1071.13,no,cash
21,059ab625-8769-49aa-b031-af486e582abd,aroma spice,2026-01-27,722.82,no,cash
22,dce92e8e-1bfe-4989-84a5-9cbc6fa8cd23,addhuri udupi bhojana,2025-12-05,390.76,no,upi
23,75af8a04-8c20-43c8-8d42-7a8ea486e3c5,mak n vak  fyn,2025-10-31,294.86,no,cash
24,27ab5d8e-9324-428b-a802-6af0c84ccd6d,sattvam,2025-06-14,338.85,no,card
25,b89a98e9-cf41-4513-8641-404ec3a7f8e3,new punjabi hotel,2025-07-10,1015.83,no,upi
26,af78d722-e465-4029-b896-ae7cf4475221,magnolia,2025-07-22,633.0,no,card
27,d2a37aa7-7e79-41c7-a9c6-60cc9cc5888c,tumbites,2025-11-23,1168.13,yes,card
28,50afb622-a478-423b-83f4-83e27e038693,nandhini,2025-05-14,1087.29,yes,cash
29,1c5bf7c1-7557-401e-952c-bfa0e0cd7e7f,polo club  the oberoi,2025-07-23,1675.48,yes,card
30,3aa491cc-92c0-4473-90cf-77ee8f879192,oottupura family restaurant,2025-12-13,1256.53,no,upi
31,9bb0345f-5783-41ce-9181-d905fa43e40c,vindu andhra ruchulu,2025-07-21,1476.32,yes,cash
32,b46d0bc8-21a6-4f4d-980a-b116226f493b,dilish kitchens,2025-06-13,999.25,no,upi
33,c0c7cf3f-8f67-485e-bfab-6f4317f22fc3,shudh,2025-12-27,910.42,no,cash
34,50f1a8ce-1c5f-42d7-a8c2-517f53571c20,sheesh kebab,2025-08-08,1495.97,no,upi
35,364e56c0-9a28-4511-9597-4cce7b682bda,damodar seth,2025-05-11,968.43,no,upi
36,7086e91f-35be-45d3-8a77-f06cae227030,hyderabadi biriyani,2026-02-09,330.03,no,cash
37,79db6a8e-0600-414d-94c7-58cf1ef98694,the blackboard bakery,2026-02-15,1454.08,no,card
38,1ae2afea-5a90-4555-9cf5-05aeccb1d157,slv swadishta,2025-09-22,982.44,yes,upi
39,7ad96a2b-f060-4558-9d32-ae35b5d662d7,suvarna sree food paradise,2025-07-01,893.51,no,upi
40,984f8841-7ac2-4451-bef8-86691854c1dc,juicy momos,2025-10-15,1262.14,no,card
41,32dc0015-cb7a-41e4-a7f5-4501f0be56cb,the good bowl,2025-10-17,706.08,yes,upi
42,5bd5a66f-05fa-4a0e-a7fc-4909befc4947,keventers,2025-08-20,590.23,yes,upi
43,23fe6929-75c6-4b6b-8cf1-6e81a702516b,purplebasilin,2025-09-29,514.24,no,cash
44,5659d2d1-3d34-4948-8080-3fa68f6c7831,kamats palate korner,2025-05-08,996.87,yes,upi
45,496bd481-e6b7-4a2c-b88d-6cbfcee1fa5c,vinnys,2025-05-28,1417.75,no,card
